,location,latitude,longitude,address,ward,Dipika Damerla,Stephen Dasko,Carolyn Parrish,Alvin Tedjo,total
72,Mississauga Civic Centre,43.5889484,-79.6447259,"300 City Centre Dr, Mississauga, ON L5B 3C1",4,587,293,1171,492,3052
73,Morning Star MS,43.7137766,-79.6481383,"3131 Morning Star Dr, Mississauga, ON L4T 1X3",5,63,13,199,33,354
74,Munden Park PS,43.5830876,-79.5931146,"515 Tedwyn Dr, Mississauga, ON L5A 1J8",7,139,152,163,81,569
75,Oakridge PS,43.5408583,-79.6338877,"2060 Stonehouse Crescent, Mississauga, ON L5H 3J1",8,72,177,193,134,643
76,Oscar Peterson PS,43.5451497,-79.7277799,"5120 Perennial Dr, Mississauga, ON L5M 7T6",10,131,61,402,208,870
77,Our Lady of Mercy CS,43.5696264,-79.7336824,"5820 Glen Erin Dr, Mississauga, ON L5M 5J9",9,130,102,216,254,806
78,Parkland on the Glen,43.5439155,-79.6645419,"1665 The Collegeway, Mississauga, ON L5L 0A9",8,8,20,18,21,72
79,Port Credit Memorial,43.5527194,-79.5914341,"40 Stavebank Rd, Mississauga, ON L5G 2T8",1,85,438,120,150,828
80,Port Credit Residences,43.556471,-79.5854192,"33 Hurontario St, Mississauga, ON L5G 3G8",1,2,36,6,2,51
81,Port Credit SS,43.5625863,-79.5909255,"70 Mineola Rd E, Mississauga, ON L5G 2E5",1,91,544,101,120,886
82,Queen of Heaven ES,43.5781665,-79.5671069,"1198 Alexandra Ave, Mississauga, ON L5E 2A5",1,74,571,115,176,990
83,Queenston Drive PS,43.5615863,-79.6621594,"3520 Queenston Dr, Mississauga, ON L5C 2G6",6,66,68,124,166,468
84,Ray Underhill PS,43.5935871,-79.7230604,"32 Suburban Dr, Mississauga, ON L5N 1G6",11,221,135,355,324,1099
85,Regency RR,43.5491443,-79.5910142,"29 Mississauga Rd N, Mississauga, ON L5H 2H7",1,7,9,11,3,35
86,Rick Hansen SS,43.5888667,-79.6839109,"1150 Dream Crest Rd, Mississauga, ON L5V 1N6",6,250,86,580,339,1352
87,Ridgewood PS,43.7152656,-79.6409166,"7207 Cambrett Dr, Mississauga, ON L4T 2R3",5,51,10,269,49,435
88,River Grove CC,43.589527,-79.7125299,"5800 River Grove Ave, Mississauga, ON L5M 4R8",6,741,304,1299,869,3463
89,Riverside PS,43.5503199,-79.590494,"30 John St N, Mississauga, ON L5H 2E8",1,100,588,125,154,1015
90,Robert Speck RR,43.5976281,-79.6339871,"100 Robert Speck Pkwy, Mississauga, ON L4Z 0A1",4,9,3,20,0,44
91,San Lorenzo Ruiz CS,43.6180267,-79.6642433,"100 Barondale Dr, Mississauga, ON L4Z 3R1",5,102,72,279,192,725
92,Settler's Green PS,43.5782088,-79.7514064,"5800 Montevideo Rd, Mississauga, ON L5N 2S1",9,106,77,200,301,731
93,Shelter Bay PS,43.5870021,-79.7630757,"6735 Shelter Bay Rd, Mississauga, ON L5N 2C5",9,74,75,140,170,508
94,Sheridan Park PS,43.5297859,-79.6662338,"2280 Perran Dr, Mississauga, ON L5K 1M1",2,48,126,176,415,800
95,Sheridan Villa,43.5103547,-79.6485975,"2460 Truscott Dr, Mississauga, ON L5J 3Z8",2,2,1,3,1,12
96,Sherwood Mills PS,43.5826276,-79.6849387,"1385 Sherwood Mills Blvd, Mississauga, ON L5V 2B8",6,125,52,251,201,679
97,Shores of Port Credit RR,43.545197,-79.5933064,"280 Lakeshore Rd W, Mississauga, ON L5H 0A5",1,2,24,9,0,36
98,Silver Creek PS,43.5930552,-79.6126499,"460 Silver Creek Blvd, Mississauga, ON L5A 2B3",4,162,133,103,106,549
99,Silverthorn Care,43.5625723,-79.6887481,"4350 Mississauga Rd, Mississauga, ON L5M 7C8",8,1,0,6,0,20
100,Silverthorn PS,43.6068459,-79.6123434,"3535 Cedar Creek Dr, Mississauga, ON L4Y 2Y4",3,291,146,128,106,738
101,Small Arms Inspection B,43.5836315,-79.5502628,"1352 Lakeshore Rd E, Mississauga, ON L5E 1E9",1,154,697,132,170,1194
102,South Common CC,43.5424495,-79.6849221,"2233 South Millway, Mississauga, ON L5L 3H7",8,551,476,904,1084,3353
103,Springfield PS,43.5575639,-79.6544427,"3251 The Credit Woodlands, Mississauga, ON L5C 2J7",6,129,109,246,230,803
104,St Francis of Assisi CS,43.5265014,-79.6724038,"2480 Thorn Lodge Dr, Mississauga, ON L5K 1K5",2,92,132,134,512,916
105,St John of the Cross CS,43.5793532,-79.7687787,"3180 Aquitaine Ave, Mississauga, ON L5N 3S5",9,193,110,277,322,976
106,St Luke Elementary CS,43.5470136,-79.6053124,"1280 Cobalt St, Mississauga, ON L5H 4L8",2,98,241,100,165,624
107,St Pio CS,43.6079926,-79.6436836,"4765 Huron Heights Dr, Mississauga, ON L4Z 4G9",4,166,122,372,267,1012
108,St Teresa CS,43.6130778,-79.6049064,"1120 Runningbrook Dr, Mississauga, ON L4Y 2T2",3,223,147,142,101,662
109,St Therese of CJCS,43.5796082,-79.7775446,"6930 Forest Park Dr, Mississauga, ON L5N 6X7",10,174,122,276,363,994
110,St Veronica CS,43.6313618,-79.7176918,"680 Novo Star Dr, Mississauga, ON L5W 1C7",11,138,64,202,154,594
111,St. Albert of JRS CS,43.580593,-79.7917009,"7185 Rosehurst Dr, Mississauga, ON L5N 7G6",10,121,73,252,272,796
112,St. Basil SS,43.6235856,-79.6131205,"4235 Golden Orchard Dr, Mississauga, ON L4W 3G1",3,172,247,303,176,1004
113,St. Bernadette CS,43.581786,-79.6737547,"1060 White Clover Way, Mississauga, ON L5V 1G7",6,177,78,460,303,1113
114,St. Bernard of CCES,43.5475662,-79.7363096,"3345 Escada Dr, Mississauga, ON L5M 7V5",10,127,58,210,194,638
115,St. Catherine CS,43.5741493,-79.6116201,"2350 Hurontario St, Mississauga, ON L5B 1N1",7,168,66,172,185,635
116,St. Charles Garnier CS,43.6056817,-79.6327443,"4233 Central Pkwy E, Mississauga, ON L4Z 1M7",4,177,137,380,272,1068
117,St. Clare SS,43.5457362,-79.6967984,"4140 Glen Erin Dr, Mississauga, ON L5L 2Z3",8,226,343,397,516,1578
118,St. David of Wales SS,43.5749633,-79.6666871,"4200 Beacon Ln, Mississauga, ON L5C 3V9",6,204,182,333,421,1234
119,St. Edith Stein CS,43.5666543,-79.7591338,"6234 Osprey Blvd, Mississauga, ON L5N 5V5",10,180,152,372,416,1221
120,St. Elizabeth Seton CS,43.577775,-79.7417853,"6133 Glen Erin Dr, Mississauga, ON L5N 2T7",9,73,81,178,295,688
121,St. Gregory CS,43.6094088,-79.7081828,"1075 Swinbourne Dr, Mississauga, ON L5V 1B9",11,104,94,273,211,736
122,St. Helen SS,43.5058688,-79.6515695,"1325 Bodley Rd, Mississauga, ON L5J 3X1",2,30,70,46,83,259
123,St. Herbert CS,43.5861727,-79.6847512,"5180 Fallingbrook Dr, Mississauga, ON L5V 2C6",6,150,71,327,226,841
124,St. Hilary CS,43.6042595,-79.6618068,"5070 Fairwind Dr Rooms 205-206, Mississauga, ON L5R 2N4",5,128,52,357,156,779
125,St. Margaret CS,43.536244,-79.6770143,"2266 Council Ring Rd, Mississauga, ON L5L 1C1",8,109,162,207,296,850
126,St. Mark SS,43.5521723,-79.6813384,"3675 Sawmill Valley Dr, Mississauga, ON L5L 2Z5",8,255,260,276,377,1237
127,St. Matthew CS,43.5995849,-79.6560442,"280 Kingsbridge Garden Cir, Mississauga, ON L5R 1L3",4,233,131,442,253,1171
